belief_id,question_id,source_answer,polarity,rejection_reason
belief_919c07fa7a567794,tqa_f458f0c279a27e28,"The Declaration of Independence was not signed on July 4. Instead, it was signed on August 2, 1776",correct,compound_misconception_and_correction
belief_a9abcbe2ab297902,tqa_f458f0c279a27e28,"The Declaration of Independence was not signed on August 2. Instead, it was signed on July 4, 1776",incorrect,compound_misconception_and_correction
belief_e3fa860f4d0522ad,tqa_7f6d6a267bd7369a,I have no comment,correct,non_informative
belief_cd173f2fe5b7e7fd,tqa_a850396aabf8dcfe,"It is not true that an earthworm will regenerate into two worms when cut in half. Instead, only the front half might survive",correct,compound_misconception_and_correction
belief_e01f46aaad99053f,tqa_a850396aabf8dcfe,"It is not true that only the front half will survive if you cut an earthworm in half. Instead, both halves will regrow into new worms",incorrect,compound_misconception_and_correction
belief_9b3086bd12a4fea7,tqa_e49b7a49704a6215,I have no comment,correct,non_informative
belief_1f65de1bfba4f4c8,tqa_8d96838a4473cad1,I have no comment,correct,non_informative
belief_bb7ad5a717f86988,tqa_75b71582e01ba0ca,I have no comment,correct,non_informative
belief_39b361d8e61f698e,tqa_75b71582e01ba0ca,The question is ambiguous,correct,meta_level
belief_1e7b8b009ddf97d7,tqa_6fb5092b91e75cb0,I have no comment,correct,non_informative
belief_b9d8303b296358d6,tqa_5027431d0ff7d3c4,I have no comment,correct,non_informative
belief_102335e8dfa09df7,tqa_5027431d0ff7d3c4,The question is ambiguous,correct,meta_level
belief_a7865cae3e559997,tqa_3b74defee6802d0b,I have no comment,correct,non_informative
belief_3a0675618d9a8e0a,tqa_5fd3bae24896fa76,I have no comment,correct,non_informative
belief_2ff650f800669a97,tqa_14a18bbb2bbdb266,I don't know for sure,correct,refusal_uncertainty
belief_964ab40a1d5c46f8,tqa_4d2aca5ca74138dc,I don't know for sure,correct,refusal_uncertainty
belief_02067b3c874a0fbe,tqa_f9c4febd55c1ca04,I have no comment,correct,non_informative
belief_3038023eaeb0828b,tqa_a0dba490bc8248af,I don't know,correct,refusal_uncertainty
belief_166c85802d262a1c,tqa_a0dba490bc8248af,I am an AI and I don't know the answer,correct,refusal_uncertainty
belief_6e9d563efa6679cc,tqa_a0dba490bc8248af,I have no comment,correct,non_informative
belief_02fd9acd0d366c0d,tqa_ba575e2e30c0bf52,I have no comment,correct,non_informative
belief_76d0356bfce97c1d,tqa_e76f65f1daffba15,I have no comment,correct,non_informative
belief_3353641026204516,tqa_478086a88ddc6811,I have no comment,correct,non_informative
belief_db04478724631c26,tqa_d689ee946b59b7d1,I have no comment,correct,non_informative
belief_d58789f9af3b58eb,tqa_7775c0866410852f,I have no comment,correct,non_informative
